County,Clinton,Clinton Votes,Sanders,Sanders Votes
Adams,Clinton,"1,784",Sanders,"1,654"
Alexander,Clinton,770,Sanders,434
Bond,Clinton,719,Sanders,855
Boone,Clinton,"1,958",Sanders,"2,777"
Brown,Clinton,160,Sanders,156
Bureau,Clinton,"1,523",Sanders,"1,860"
Calhoun,Clinton,447,Sanders,504
Carroll,Clinton,625,Sanders,642
Cass,Clinton,504,Sanders,539
Champaign,Clinton,"10,721",Sanders,"21,440"
Christian,Clinton,"1,401",Sanders,"1,529"
Clark,Clinton,562,Sanders,664
Clay,Clinton,378,Sanders,439
Clinton,Clinton,908,Sanders,"1,270"
Coles,Clinton,"1,714",Sanders,"2,527"
Cook,Clinton,"633,300",Sanders,"536,805"
Crawford,Clinton,609,Sanders,585
Cumberland,Clinton,364,Sanders,518
Dekalb,Clinton,"4,146",Sanders,"8,330"
De Witt,Clinton,561,Sanders,660
Douglas,Clinton,484,Sanders,643
DuPage,Clinton,"59,798",Sanders,"66,163"
Edgar,Clinton,446,Sanders,468
Edwards,Clinton,143,Sanders,148
Effingham,Clinton,868,Sanders,"1,248"
Fayette,Clinton,616,Sanders,643
Ford,Clinton,288,Sanders,438
Franklin,Clinton,"2,179",Sanders,"2,782"
Fulton,Clinton,"2,153",Sanders,"2,540"
Gallatin,Clinton,531,Sanders,663
Greene,Clinton,507,Sanders,535
Grundy,Clinton,"2,053",Sanders,"3,106"
Hamilton,Clinton,418,Sanders,485
Hancock,Clinton,631,Sanders,468
Hardin,Clinton,162,Sanders,222
Henderson,Clinton,339,Sanders,296
Henry,Clinton,"2,159",Sanders,"2,065"
Iroquois,Clinton,544,Sanders,881
Jackson,Clinton,"2,842",Sanders,"4,713"
Jasper,Clinton,328,Sanders,434
Jefferson,Clinton,"1,678",Sanders,"1,777"
Jersey,Clinton,857,Sanders,"1,071"
Jo Daviess,Clinton,"1,320",Sanders,"1,226"
Johnson,Clinton,361,Sanders,420
Kane,Clinton,"23,505",Sanders,"30,234"
Kankakee,Clinton,"4,902",Sanders,"5,761"
Kendall,Clinton,"5,611",Sanders,"7,841"
Knox,Clinton,"2,957",Sanders,"3,222"
Lake,Clinton,"50,271",Sanders,"44,823"
LaSalle,Clinton,"5,279",Sanders,"6,746"
Lawrence,Clinton,417,Sanders,431
Lee,Clinton,"1,295",Sanders,"1,961"
Livingston,Clinton,832,Sanders,"1,054"
Logan,Clinton,739,Sanders,974
McDonough,Clinton,"1,054",Sanders,"1,471"
McHenry,Clinton,"13,221",Sanders,"20,702"
McLean,Clinton,"7,726",Sanders,"13,008"
Macon,Clinton,"5,958",Sanders,"4,995"
Macoupin,Clinton,"2,783",Sanders,"3,537"
Madison,Clinton,"15,572",Sanders,"19,463"
Marion,Clinton,"1,630",Sanders,"1,708"
Marshall,Clinton,569,Sanders,586
Mason,Clinton,680,Sanders,677
Massac,Clinton,549,Sanders,492
Menard,Clinton,398,Sanders,491
Mercer,Clinton,496,Sanders,860
Monroe,Clinton,"1,438",Sanders,"1,778"
Montgomery,Clinton,"1,250",Sanders,"1,277"
Morgan,Clinton,936,Sanders,"1,288"
Moultrie,Clinton,467,Sanders,566
Ogle,Clinton,"2,642",Sanders,"2,642"
Peoria,Clinton,"11,473",Sanders,"10,409"
Perry,Clinton,855,Sanders,931
Piatt,Clinton,788,Sanders,"1,017"
Pike,Clinton,497,Sanders,451
Pope,Clinton,109,Sanders,176
Pulaski,Clinton,385,Sanders,217
Putnam,Clinton,455,Sanders,504
Randolph,Clinton,"1,314",Sanders,"1,555"
Richland,Clinton,448,Sanders,551
Rock Island,Clinton,"10,240",Sanders,"9,345"
St. Clair,Clinton,"24,218",Sanders,"15,838"
Saline,Clinton,"1,054",Sanders,"1,158"
Sangamon,Clinton,"9,295",Sanders,"10,416"
Schuyler,Clinton,368,Sanders,294
Scott,Clinton,150,Sanders,161
Shelby,Clinton,783,Sanders,941
Stark,Clinton,197,Sanders,215
Stephenson,Clinton,"1,989",Sanders,"2,029"
Tazewell,Clinton,"5,905",Sanders,"7,192"
Union,Clinton,921,Sanders,"1,153"
Vermilion,Clinton,"3,048",Sanders,"2,803"
Wabash,Clinton,356,Sanders,345
Warren,Clinton,726,Sanders,741
Washington,Clinton,409,Sanders,595
Wayne,Clinton,319,Sanders,419
White,Clinton,565,Sanders,531
Whiteside,Clinton,"2,900",Sanders,"3,109"
Will,Clinton,"42,799",Sanders,"47,674"
Williamson,Clinton,"2,985",Sanders,"3,909"
Winnebago,Clinton,"15,097",Sanders,"16,784"
Woodford,Clinton,"1,279",Sanders,"1,620"
