State,18-29,30-44,45-64,65+
Texas,0.15,0.22,0.38,0.25
Colorado ,0.1,0.19,0.33,0.37
Minnesota,0.19,0.24,0.32,0.26
Michigan,0.16,0.22,0.42,0.2
Virginia ,0.13,0.23,0.4,0.23
Massachusetts,0.16,0.21,0.36,0.47
Maine,0.15,0.19,0.33,0.33
North Carolina,0.14,0.22,0.37,0.27
South Carolina,0.11,0.18,0.42,0.29
Missouri,0.14,0.18,0.36,0.31
Tennesse,0.11,0.22,0.4,0.28
Mississippi,0.13,0.19,0.42,0.26
Oklahoma,0.1,0.23,0.32,0.35
Vermont,0.11,0.2,0.41,0.28
New Hampshire,0.13,0.22,0.39,0.26
Alabama,0.1,0.23,0.38,0.28
Iowa,0.24,0.21,0.28,0.27
Nevada,0.17,0.2,0.35,0.28
